N,P,K,temperature,humidity,ph,rainfall,label
29.0,73.0,19.0,18.38,37.03,6.34,102.09,pigeonpeas
4.0,65.0,21.0,20.8,58.38,6.91,160.9,pigeonpeas
28.0,57.0,15.0,22.49,60.92,6.24,181.25,pigeonpeas
24.0,66.0,18.0,24.88,42.52,6.97,94.38,pigeonpeas
31.0,56.0,15.0,28.33,59.0,5.75,148.43,pigeonpeas
1.0,57.0,20.0,26.54,44.95,6.66,157.99,pigeonpeas
39.0,56.0,15.0,27.57,30.14,6.74,113.38,pigeonpeas
15.0,61.0,24.0,27.61,61.69,6.22,123.9,pigeonpeas
14.0,66.0,25.0,20.21,40.35,5.83,186.87,pigeonpeas
7.0,64.0,24.0,25.91,37.19,5.67,91.32,pigeonpeas
5.0,66.0,23.0,20.16,49.53,6.7,160.97,pigeonpeas
29.0,60.0,16.0,28.54,66.13,6.78,184.96,pigeonpeas
4.0,73.0,18.0,26.96,51.18,6.27,120.07,pigeonpeas
36.0,78.0,17.0,29.08,34.8,5.89,92.37,pigeonpeas
1.0,57.0,18.0,25.65,61.83,6.48,197.65,pigeonpeas
7.0,71.0,22.0,23.35,58.81,5.71,111.36,pigeonpeas
5.0,71.0,16.0,18.37,58.72,5.96,97.11,pigeonpeas
16.0,76.0,25.0,26.48,43.98,6.05,137.96,pigeonpeas
24.0,67.0,22.0,28.2,38.51,6.82,92.28,pigeonpeas
39.0,61.0,20.0,21.05,45.87,6.33,120.74,pigeonpeas
23.0,66.0,22.0,22.26,66.79,6.12,182.49,pigeonpeas
31.0,71.0,21.0,28.28,61.0,5.82,112.9,pigeonpeas
7.0,73.0,19.0,22.48,60.86,6.05,117.93,pigeonpeas
34.0,65.0,17.0,26.79,65.38,5.65,120.39,pigeonpeas
7.0,76.0,20.0,21.33,54.04,6.76,192.38,pigeonpeas
1.0,74.0,16.0,29.83,43.4,6.99,137.43,pigeonpeas
5.0,76.0,25.0,27.13,58.19,6.19,150.32,pigeonpeas
33.0,79.0,25.0,18.97,62.49,5.56,135.21,pigeonpeas
33.0,59.0,20.0,23.36,40.35,5.75,134.97,pigeonpeas
34.0,73.0,21.0,20.66,59.88,6.89,157.55,pigeonpeas
40.0,65.0,16.0,26.59,36.58,6.93,169.81,pigeonpeas
13.0,73.0,23.0,24.44,68.3,5.93,105.65,pigeonpeas
19.0,58.0,17.0,24.02,51.17,6.16,106.68,pigeonpeas
19.0,55.0,24.0,18.6,33.11,6.97,184.51,pigeonpeas
1.0,66.0,17.0,20.22,38.6,6.21,138.79,pigeonpeas
37.0,61.0,19.0,28.65,51.64,5.55,91.22,pigeonpeas
11.0,79.0,24.0,27.22,46.22,6.99,154.49,pigeonpeas
40.0,65.0,25.0,26.57,41.26,5.55,109.96,pigeonpeas
29.0,65.0,17.0,19.76,37.16,6.07,166.11,pigeonpeas
5.0,59.0,17.0,26.53,38.53,6.26,117.71,pigeonpeas
10.0,67.0,19.0,24.69,55.21,5.69,125.32,pigeonpeas
19.0,71.0,19.0,28.98,54.46,5.75,120.17,pigeonpeas
25.0,63.0,16.0,21.53,33.93,5.83,95.38,pigeonpeas
36.0,61.0,21.0,20.41,34.41,5.99,130.23,pigeonpeas
4.0,75.0,15.0,26.74,34.32,6.61,157.25,pigeonpeas
3.0,71.0,19.0,27.03,31.34,6.3,177.39,pigeonpeas
7.0,75.0,17.0,27.68,62.04,6.84,121.99,pigeonpeas
5.0,76.0,23.0,18.91,42.6,6.39,172.17,pigeonpeas
17.0,79.0,21.0,28.67,53.9,6.69,106.23,pigeonpeas
36.0,79.0,16.0,28.18,53.4,6.41,127.57,pigeonpeas
20.0,77.0,24.0,24.8,62.75,6.29,103.2,pigeonpeas
34.0,67.0,23.0,18.4,32.34,6.22,135.63,pigeonpeas
14.0,57.0,20.0,22.36,44.79,6.05,187.89,pigeonpeas
5.0,58.0,21.0,23.63,45.83,6.82,132.93,pigeonpeas
33.0,64.0,20.0,24.25,38.65,6.2,116.24,pigeonpeas
9.0,72.0,15.0,22.14,66.02,6.16,130.16,pigeonpeas
22.0,72.0,15.0,27.22,56.89,5.66,102.43,pigeonpeas
8.0,65.0,15.0,28.72,31.67,5.97,129.3,pigeonpeas
31.0,73.0,21.0,26.64,39.94,6.34,142.09,pigeonpeas
29.0,67.0,22.0,29.61,64.12,6.09,144.26,pigeonpeas
33.0,64.0,15.0,25.66,61.79,6.95,109.34,pigeonpeas
18.0,75.0,23.0,23.18,45.64,5.98,99.29,pigeonpeas
14.0,66.0,17.0,29.17,63.75,6.7,139.73,pigeonpeas
35.0,80.0,15.0,20.66,35.35,5.81,94.09,pigeonpeas
34.0,67.0,22.0,26.11,45.25,5.59,96.99,pigeonpeas
30.0,74.0,22.0,24.62,52.06,6.74,135.08,pigeonpeas
31.0,75.0,19.0,18.12,68.33,6.16,152.2,pigeonpeas
0.0,61.0,24.0,25.53,52.56,6.58,182.27,pigeonpeas
18.0,62.0,18.0,25.79,34.55,6.11,179.58,pigeonpeas
18.0,66.0,18.0,28.1,62.55,6.78,129.13,pigeonpeas
13.0,77.0,19.0,18.54,66.06,5.66,108.82,pigeonpeas
9.0,79.0,15.0,18.38,31.86,6.63,115.03,pigeonpeas
15.0,59.0,23.0,25.14,62.03,5.97,125.88,pigeonpeas
1.0,58.0,17.0,27.1,55.56,5.7,91.68,pigeonpeas
5.0,53.0,17.0,26.67,59.96,6.27,52.15,mothbeans
6.0,50.0,16.0,24.97,43.77,3.72,49.52,mothbeans
14.0,55.0,19.0,30.85,54.11,8.5,38.54,mothbeans
28.0,44.0,20.0,25.13,58.26,8.55,57.17,mothbeans
13.0,36.0,24.0,25.18,54.77,6.68,48.31,mothbeans
20.0,55.0,24.0,27.02,46.98,9.76,49.57,mothbeans
29.0,55.0,18.0,26.49,46.04,3.63,31.27,mothbeans
4.0,48.0,22.0,31.74,63.28,6.07,59.87,mothbeans
12.0,44.0,17.0,28.79,62.41,4.61,59.87,mothbeans
36.0,42.0,18.0,24.75,46.46,5.46,47.3,mothbeans
29.0,48.0,16.0,24.33,43.64,8.87,38.5,mothbeans
21.0,54.0,23.0,25.37,46.28,7.23,51.11,mothbeans
23.0,57.0,17.0,25.3,50.27,6.9,34.38,mothbeans
4.0,36.0,24.0,31.71,43.66,4.35,72.31,mothbeans
12.0,40.0,15.0,25.78,51.53,5.61,34.87,mothbeans
28.0,55.0,15.0,24.08,49.99,9.51,47.16,mothbeans
3.0,51.0,19.0,30.7,47.94,6.85,50.8,mothbeans
33.0,57.0,25.0,27.17,45.91,7.98,44.59,mothbeans
24.0,51.0,15.0,29.92,59.82,6.37,40.55,mothbeans
24.0,54.0,19.0,25.09,51.71,5.72,61.48,mothbeans
38.0,46.0,22.0,25.45,42.09,3.88,45.11,mothbeans
36.0,49.0,20.0,26.72,44.22,8.13,44.69,mothbeans
9.0,43.0,23.0,30.52,49.16,5.84,67.2,mothbeans
27.0,47.0,16.0,25.79,49.72,6.53,74.8,mothbeans
9.0,56.0,19.0,28.67,40.95,4.87,55.84,mothbeans
21.0,44.0,20.0,30.92,55.95,5.78,44.79,mothbeans
5.0,43.0,25.0,30.4,57.34,9.31,61.81,mothbeans
3.0,51.0,18.0,28.32,56.4,4.83,31.28,mothbeans
35.0,56.0,20.0,24.41,48.97,6.32,44.77,mothbeans
26.0,46.0,16.0,24.05,42.21,7.66,34.77,mothbeans
32.0,47.0,18.0,27.82,61.31,3.89,30.4,mothbeans
30.0,47.0,22.0,31.04,40.27,3.85,60.92,mothbeans
19.0,38.0,19.0,29.87,50.47,9.54,56.0,mothbeans
13.0,48.0,17.0,29.59,48.76,6.23,42.2,mothbeans
18.0,57.0,19.0,31.03,51.76,7.97,58.37,mothbeans
28.0,56.0,23.0,31.85,52.7,8.33,70.59,mothbeans
0.0,58.0,16.0,24.26,54.91,8.5,61.89,mothbeans
10.0,58.0,19.0,29.03,43.85,7.72,52.3,mothbeans
16.0,55.0,16.0,28.42,45.77,3.83,36.31,mothbeans
13.0,54.0,17.0,31.85,51.93,9.8,31.95,mothbeans
16.0,44.0,25.0,31.0,54.76,9.77,50.5,mothbeans
13.0,47.0,18.0,28.98,56.37,8.95,52.17,mothbeans
33.0,54.0,15.0,28.83,44.52,4.8,46.46,mothbeans
40.0,40.0,19.0,27.79,57.67,7.73,54.26,mothbeans
28.0,58.0,20.0,31.86,55.25,7.1,72.46,mothbeans
28.0,49.0,16.0,30.07,50.64,8.3,67.82,mothbeans
30.0,54.0,25.0,25.8,63.41,9.05,48.62,mothbeans
36.0,58.0,23.0,31.19,60.53,6.06,61.86,mothbeans
11.0,43.0,23.0,28.19,56.02,6.56,61.04,mothbeans
22.0,57.0,19.0,26.38,52.31,5.36,65.94,mothbeans
24.0,56.0,16.0,24.95,51.14,3.73,41.05,mothbeans
16.0,43.0,18.0,31.42,61.02,5.1,44.94,mothbeans
8.0,37.0,19.0,29.02,55.68,7.93,72.07,mothbeans
18.0,54.0,24.0,30.8,42.49,4.11,38.02,mothbeans
12.0,59.0,18.0,24.47,60.13,8.88,42.45,mothbeans
35.0,41.0,24.0,26.21,60.5,7.93,41.44,mothbeans
23.0,50.0,21.0,28.67,47.26,4.7,59.5,mothbeans
8.0,43.0,20.0,29.12,57.16,3.82,34.28,mothbeans
18.0,42.0,18.0,24.22,50.17,6.86,54.08,mothbeans
15.0,44.0,19.0,26.39,64.95,6.13,62.04,mothbeans
7.0,51.0,20.0,24.56,55.99,7.3,70.12,mothbeans
16.0,54.0,24.0,30.82,61.77,5.65,74.67,mothbeans
3.0,39.0,17.0,27.76,59.0,4.21,50.13,mothbeans
8.0,41.0,19.0,25.9,43.41,6.91,30.23,mothbeans
12.0,47.0,17.0,31.14,54.45,8.57,47.87,mothbeans
4.0,43.0,15.0,25.43,59.94,6.33,73.88,mothbeans
20.0,42.0,25.0,26.67,40.95,9.4,59.04,mothbeans
2.0,58.0,17.0,31.19,56.9,4.31,30.71,mothbeans
34.0,56.0,18.0,28.58,63.53,8.42,67.55,mothbeans
32.0,48.0,23.0,25.03,55.75,9.06,38.82,mothbeans
2.0,37.0,20.0,25.53,62.4,5.89,69.84,mothbeans
12.0,52.0,15.0,29.97,62.77,5.17,71.35,mothbeans
34.0,36.0,23.0,31.03,40.93,9.47,68.6,mothbeans
29.0,47.0,25.0,29.25,63.27,6.27,43.38,mothbeans
13.0,39.0,17.0,28.33,59.25,7.87,62.36,mothbeans
28.0,49.0,23.0,24.3,53.18,4.01,45.19,mothbeans
1.0,42.0,19.0,30.19,58.89,5.81,35.23,mothbeans
38.0,40.0,20.0,31.0,47.53,9.14,73.21,mothbeans
11.0,43.0,21.0,25.77,62.09,7.62,51.02,mothbeans
32.0,46.0,17.0,28.61,53.57,6.28,46.55,mothbeans
2.0,55.0,20.0,31.15,47.36,6.52,41.28,mothbeans
5.0,43.0,17.0,27.78,44.06,4.71,63.14,mothbeans
40.0,44.0,23.0,31.96,42.46,4.71,52.91,mothbeans
1.0,56.0,20.0,30.27,41.44,9.3,69.28,mothbeans
30.0,46.0,21.0,24.98,49.1,6.06,60.6,mothbeans
5.0,44.0,25.0,30.88,50.62,8.4,54.05,mothbeans
5.0,50.0,21.0,26.29,43.85,9.48,42.77,mothbeans
21.0,44.0,17.0,29.71,53.16,9.79,65.1,mothbeans
12.0,44.0,16.0,24.73,46.32,6.05,46.85,mothbeans
20.0,41.0,19.0,24.21,59.59,7.98,65.14,mothbeans
18.0,52.0,18.0,30.61,41.62,9.09,30.14,mothbeans
12.0,53.0,22.0,29.69,44.5,4.01,66.71,mothbeans
18.0,39.0,18.0,27.32,45.2,5.5,41.0,mothbeans
31.0,49.0,24.0,26.0,59.78,3.63,41.51,mothbeans
27.0,42.0,18.0,28.12,52.18,7.0,45.7,mothbeans
12.0,56.0,18.0,29.15,56.89,8.17,33.27,mothbeans
6.0,41.0,24.0,27.66,63.64,9.98,51.12,mothbeans
25.0,50.0,16.0,25.86,52.4,8.29,70.39,mothbeans
28.0,44.0,18.0,28.57,48.74,6.29,35.11,mothbeans
27.0,51.0,19.0,24.77,62.39,7.33,43.47,mothbeans
21.0,48.0,22.0,29.14,87.69,6.95,45.91,mungbean
24.0,47.0,16.0,27.53,86.72,6.54,39.31,mungbean
7.0,46.0,21.0,27.01,86.33,7.28,58.12,mungbean
37.0,50.0,20.0,28.59,81.01,7.11,47.68,mungbean
0.0,59.0,24.0,29.41,84.55,6.63,59.33,mungbean
36.0,48.0,22.0,27.7,87.83,6.17,58.97,mungbean
3.0,55.0,20.0,27.47,84.68,7.02,44.64,mungbean
4.0,38.0,19.0,29.07,80.68,7.44,49.52,mungbean
23.0,35.0,18.0,29.83,85.81,7.43,45.35,mungbean
22.0,58.0,20.0,28.02,83.52,6.02,42.25,mungbean
37.0,52.0,16.0,27.28,84.54,7.39,41.01,mungbean
26.0,50.0,24.0,27.71,80.95,6.15,38.88,mungbean
32.0,56.0,23.0,27.03,82.79,7.37,55.59,mungbean
24.0,38.0,21.0,29.81,85.97,6.34,44.81,mungbean
22.0,49.0,24.0,27.24,86.64,6.65,38.93,mungbean
30.0,43.0,18.0,29.44,82.4,7.18,40.92,mungbean
32.0,39.0,23.0,29.69,89.43,6.85,56.76,mungbean
37.0,37.0,21.0,28.89,86.02,6.6,47.4,mungbean
10.0,42.0,18.0,29.99,80.11,7.17,48.38,mungbean
30.0,44.0,22.0,28.09,81.5,7.28,37.91,mungbean
27.0,38.0,20.0,28.58,81.16,7.31,57.75,mungbean
15.0,37.0,20.0,28.37,88.86,6.17,52.3,mungbean
13.0,41.0,23.0,29.76,89.77,6.29,36.75,mungbean
15.0,37.0,17.0,29.29,80.58,7.29,37.03,mungbean
8.0,51.0,22.0,27.13,81.43,6.41,41.44,mungbean
18.0,45.0,23.0,27.87,82.01,6.42,50.24,mungbean
37.0,38.0,17.0,27.54,83.59,7.34,50.23,mungbean
17.0,47.0,16.0,29.37,87.53,6.27,44.12,mungbean
40.0,50.0,17.0,28.86,87.76,7.46,57.7,mungbean
27.0,42.0,21.0,27.9,88.33,7.15,42.35,mungbean
38.0,42.0,19.0,28.77,81.92,6.14,50.74,mungbean
37.0,41.0,20.0,27.34,84.77,7.41,58.33,mungbean
0.0,36.0,22.0,27.02,88.32,7.02,48.09,mungbean
31.0,38.0,18.0,27.48,82.68,7.26,43.54,mungbean
29.0,41.0,20.0,27.46,83.56,6.39,39.45,mungbean
24.0,59.0,20.0,29.76,89.38,6.87,56.93,mungbean
19.0,42.0,23.0,28.88,82.14,6.04,57.51,mungbean
22.0,44.0,22.0,29.28,80.15,6.54,47.01,mungbean
28.0,59.0,20.0,27.33,87.94,7.2,37.35,mungbean
30.0,55.0,17.0,28.51,87.19,6.3,59.1,mungbean
25.0,40.0,23.0,27.8,84.11,7.46,54.01,mungbean
32.0,57.0,19.0,27.22,80.54,7.1,41.57,mungbean
30.0,43.0,17.0,27.95,80.44,6.13,49.68,mungbean
30.0,36.0,15.0,27.69,83.01,6.88,38.93,mungbean
28.0,41.0,17.0,28.78,85.37,7.14,41.78,mungbean
21.0,46.0,22.0,29.26,88.29,6.7,42.12,mungbean
3.0,37.0,22.0,28.95,87.48,7.35,36.3,mungbean
3.0,50.0,25.0,29.19,81.34,6.96,49.08,mungbean
27.0,37.0,22.0,28.31,83.64,6.3,47.47,mungbean
38.0,53.0,17.0,29.57,83.5,6.18,55.43,mungbean
12.0,38.0,18.0,27.15,86.41,6.25,56.2,mungbean
35.0,36.0,20.0,27.59,81.59,7.36,49.22,mungbean
15.0,46.0,25.0,28.64,89.89,7.24,49.63,mungbean
27.0,38.0,17.0,28.79,80.71,7.23,54.67,mungbean
23.0,43.0,16.0,29.47,81.66,7.26,53.93,mungbean
11.0,49.0,17.0,28.58,89.61,7.42,57.76,mungbean
17.0,36.0,16.0,27.46,82.83,6.58,43.33,mungbean
3.0,41.0,24.0,28.22,81.7,6.31,46.88,mungbean
6.0,42.0,24.0,29.62,86.95,6.97,45.23,mungbean
11.0,46.0,18.0,27.19,82.57,6.28,59.22,mungbean
36.0,59.0,21.0,29.7,82.44,7.43,43.72,mungbean
14.0,46.0,15.0,28.87,88.69,6.62,51.63,mungbean
19.0,35.0,20.0,29.29,86.88,7.43,44.57,mungbean
26.0,52.0,18.0,28.55,81.38,6.38,56.61,mungbean
36.0,39.0,21.0,29.44,86.14,6.5,49.27,mungbean
9.0,47.0,16.0,27.09,89.4,6.13,46.86,mungbean
8.0,49.0,21.0,27.47,82.08,6.78,46.21,mungbean
24.0,45.0,17.0,29.14,84.19,7.11,58.95,mungbean
4.0,50.0,16.0,27.98,81.72,6.79,46.91,mungbean
34.0,59.0,18.0,28.59,86.02,7.23,36.77,mungbean
14.0,43.0,25.0,29.79,82.8,6.9,41.57,mungbean
35.0,49.0,15.0,27.47,85.61,6.1,50.53,mungbean
7.0,48.0,15.0,27.21,87.38,7.04,48.45,mungbean
27.0,38.0,20.0,29.25,84.33,6.68,57.32,mungbean
19.0,50.0,16.0,28.84,85.2,6.51,46.27,mungbean
36.0,60.0,22.0,28.79,80.98,6.96,59.49,mungbean
22.0,51.0,16.0,29.78,85.94,6.91,38.11,mungbean
2.0,36.0,22.0,29.03,84.1,6.63,36.63,mungbean
37.0,50.0,19.0,28.69,86.68,6.4,47.47,mungbean
7.0,57.0,24.0,29.9,87.58,6.23,36.43,mungbean
26.0,43.0,16.0,27.79,89.04,6.52,54.92,mungbean
27.0,48.0,18.0,29.76,88.67,7.15,40.68,mungbean
17.0,35.0,25.0,29.54,83.97,6.95,48.64,mungbean
24.0,58.0,17.0,29.96,89.5,6.6,51.26,mungbean
27.0,35.0,24.0,28.82,89.81,6.32,48.17,mungbean
4.0,56.0,20.0,28.2,87.24,6.33,45.64,mungbean
37.0,52.0,19.0,27.79,85.75,6.84,59.45,mungbean
9.0,38.0,16.0,27.3,85.15,6.54,51.91,mungbean
25.0,54.0,23.0,27.11,89.65,7.33,45.74,mungbean
31.0,38.0,23.0,29.49,87.25,7.23,52.71,mungbean
23.0,57.0,22.0,28.24,88.86,6.54,37.98,mungbean
1.0,59.0,21.0,28.67,80.72,7.13,45.89,mungbean
19.0,43.0,17.0,27.96,82.37,6.23,53.32,mungbean
7.0,45.0,17.0,28.9,85.8,7.42,43.58,mungbean
19.0,43.0,20.0,29.7,89.86,6.25,59.67,mungbean
30.0,57.0,23.0,29.82,89.96,6.4,58.46,mungbean
28.0,52.0,20.0,29.9,80.82,6.22,44.7,mungbean
2.0,50.0,22.0,28.38,84.5,6.49,56.98,mungbean
9.0,46.0,20.0,29.0,84.95,6.28,56.7,mungbean
33.0,37.0,24.0,28.92,81.1,6.73,39.46,mungbean
30.0,67.0,22.0,27.17,61.77,6.99,65.21,blackgram
48.0,57.0,21.0,25.44,60.52,6.72,67.72,blackgram
25.0,72.0,20.0,32.36,61.3,7.12,60.84,blackgram
26.0,70.0,22.0,32.44,64.68,6.88,73.25,blackgram
57.0,63.0,23.0,28.33,66.96,6.55,63.62,blackgram
34.0,72.0,24.0,29.68,62.45,6.63,68.75,blackgram
56.0,72.0,25.0,30.75,65.64,7.31,61.48,blackgram
35.0,73.0,18.0,32.94,60.68,7.42,69.48,blackgram
60.0,80.0,24.0,30.92,60.19,7.0,63.3,blackgram
56.0,64.0,19.0,29.1,60.89,6.69,66.48,blackgram
34.0,57.0,15.0,31.88,61.34,7.15,70.78,blackgram
56.0,58.0,21.0,33.06,63.08,7.11,60.58,blackgram
28.0,79.0,20.0,33.78,64.5,6.91,65.99,blackgram
43.0,58.0,22.0,32.3,61.55,6.98,65.34,blackgram
30.0,71.0,19.0,27.36,67.34,6.97,71.26,blackgram
42.0,67.0,20.0,31.32,64.0,7.19,69.74,blackgram
41.0,73.0,21.0,31.63,68.86,6.65,70.54,blackgram
50.0,66.0,24.0,27.91,60.14,6.83,61.19,blackgram
28.0,59.0,19.0,27.77,64.27,7.38,67.77,blackgram
51.0,80.0,22.0,32.15,60.45,6.63,64.95,blackgram
41.0,73.0,22.0,30.03,61.75,6.7,61.41,blackgram
43.0,73.0,16.0,29.86,64.94,6.7,65.66,blackgram
34.0,64.0,18.0,25.69,61.65,7.3,69.38,blackgram
28.0,78.0,20.0,28.58,66.02,7.28,67.74,blackgram
47.0,80.0,24.0,26.25,60.55,6.84,67.71,blackgram
34.0,63.0,24.0,32.66,66.67,6.87,68.36,blackgram
22.0,76.0,18.0,33.36,60.02,7.28,63.17,blackgram
43.0,56.0,23.0,29.47,62.61,6.54,62.66,blackgram
24.0,66.0,23.0,33.91,60.19,6.77,63.7,blackgram
31.0,80.0,19.0,25.73,69.17,6.82,64.63,blackgram
29.0,69.0,24.0,27.28,67.91,7.03,71.47,blackgram
51.0,58.0,23.0,33.94,63.94,7.25,65.47,blackgram
58.0,75.0,22.0,25.21,63.89,7.15,63.4,blackgram
46.0,56.0,16.0,28.22,62.55,7.22,61.23,blackgram
21.0,73.0,23.0,30.9,65.58,6.6,68.28,blackgram
60.0,70.0,20.0,26.26,60.85,7.49,67.87,blackgram
56.0,64.0,16.0,25.99,69.14,6.92,72.99,blackgram
54.0,60.0,20.0,32.19,68.05,6.51,62.05,blackgram
53.0,73.0,17.0,33.86,68.81,6.57,72.38,blackgram
32.0,66.0,23.0,26.75,66.44,7.14,69.56,blackgram
24.0,69.0,22.0,33.63,69.99,6.88,68.56,blackgram
58.0,66.0,24.0,31.5,61.25,7.38,70.69,blackgram
31.0,66.0,22.0,33.28,62.63,7.17,64.65,blackgram
51.0,75.0,19.0,28.01,64.19,7.42,65.58,blackgram
40.0,79.0,20.0,29.85,61.95,7.05,73.65,blackgram
34.0,70.0,17.0,33.6,63.6,7.24,66.65,blackgram
59.0,64.0,18.0,29.06,64.74,6.66,65.53,blackgram
48.0,70.0,16.0,31.76,68.2,6.78,62.05,blackgram
38.0,79.0,15.0,28.7,69.71,7.23,74.36,blackgram
56.0,79.0,20.0,29.6,62.54,7.33,70.64,blackgram
30.0,56.0,20.0,34.56,69.39,7.29,71.76,blackgram
34.0,75.0,17.0,28.1,63.62,7.23,62.44,blackgram
27.0,65.0,22.0,30.28,61.82,7.36,73.09,blackgram
36.0,74.0,18.0,31.3,69.2,6.82,68.87,blackgram
30.0,60.0,18.0,26.93,69.45,7.46,74.78,blackgram
33.0,76.0,25.0,31.45,62.76,7.47,71.96,blackgram
37.0,56.0,25.0,29.09,63.1,7.27,68.84,blackgram
32.0,75.0,23.0,28.94,64.09,7.07,61.99,blackgram
21.0,78.0,15.0,27.07,63.67,6.96,60.79,blackgram
38.0,63.0,17.0,27.87,67.06,6.91,69.43,blackgram
23.0,64.0,19.0,32.95,62.12,7.46,70.69,blackgram
30.0,58.0,23.0,25.79,61.31,7.14,71.38,blackgram
45.0,58.0,25.0,31.48,62.07,7.13,66.7,blackgram
53.0,60.0,21.0,29.14,66.79,7.48,60.67,blackgram
29.0,60.0,15.0,32.36,66.47,7.4,61.52,blackgram
25.0,78.0,22.0,32.79,67.7,7.34,63.55,blackgram
21.0,75.0,16.0,27.67,62.06,7.25,60.37,blackgram
26.0,66.0,22.0,25.8,61.87,7.05,72.14,blackgram
34.0,66.0,15.0,26.77,60.8,6.66,66.04,blackgram
36.0,60.0,20.0,29.38,66.25,6.72,71.59,blackgram
31.0,69.0,23.0,32.83,62.01,7.29,64.59,blackgram
49.0,64.0,16.0,31.74,64.84,6.77,65.54,blackgram
57.0,69.0,19.0,34.56,67.88,7.0,66.38,blackgram
48.0,79.0,23.0,29.79,69.64,6.77,70.92,blackgram
49.0,68.0,19.0,25.15,62.49,6.98,63.81,blackgram
53.0,60.0,16.0,30.26,64.5,7.36,62.61,blackgram
32.0,66.0,16.0,28.03,68.38,6.95,60.73,blackgram
36.0,64.0,21.0,32.12,61.97,7.07,69.57,blackgram
21.0,73.0,24.0,26.48,61.51,6.51,67.93,blackgram
48.0,74.0,16.0,27.67,69.45,7.31,67.01,blackgram
24.0,76.0,17.0,26.23,66.35,6.94,71.02,blackgram
43.0,74.0,15.0,27.55,68.91,7.12,68.47,blackgram
40.0,69.0,18.0,29.01,62.75,7.33,62.53,blackgram
49.0,78.0,24.0,28.82,62.67,6.88,72.94,blackgram
29.0,75.0,17.0,31.59,65.55,6.96,67.52,blackgram
24.0,74.0,24.0,34.77,67.23,6.57,66.41,blackgram
58.0,74.0,22.0,34.9,62.76,7.37,71.37,blackgram
24.0,65.0,21.0,33.78,64.92,6.67,73.43,blackgram
21.0,76.0,19.0,34.36,69.73,6.59,72.7,blackgram
54.0,58.0,18.0,30.28,66.07,7.31,74.65,blackgram
59.0,73.0,21.0,30.67,62.75,6.61,65.7,blackgram
52.0,72.0,19.0,25.04,62.23,7.06,64.86,blackgram
29.0,70.0,24.0,26.65,66.93,7.44,72.7,blackgram
47.0,76.0,15.0,26.63,68.8,6.68,63.79,blackgram
38.0,64.0,17.0,25.93,69.25,6.82,66.5,blackgram
53.0,70.0,25.0,26.57,68.26,7.27,60.2,blackgram
35.0,65.0,18.0,31.43,62.69,7.43,73.13,blackgram
43.0,57.0,25.0,25.37,68.35,6.56,63.09,blackgram
35.0,75.0,24.0,28.2,68.53,6.96,71.08,blackgram
46.0,73.0,17.0,31.5,68.9,6.9,70.58,blackgram
17.0,78.0,17.0,24.12,64.8,6.64,46.56,lentil
19.0,74.0,17.0,22.44,62.98,6.82,39.13,lentil
12.0,72.0,18.0,27.61,68.46,6.29,53.5,lentil
0.0,71.0,17.0,28.41,63.62,6.39,40.97,lentil
40.0,76.0,21.0,25.8,60.22,5.51,46.9,lentil
10.0,69.0,18.0,21.9,61.54,5.82,43.69,lentil
13.0,62.0,23.0,26.85,66.87,7.41,51.84,lentil
1.0,62.0,23.0,28.6,69.08,5.81,40.32,lentil
31.0,76.0,20.0,25.71,61.34,6.0,54.47,lentil
11.0,78.0,24.0,26.89,62.53,6.36,54.27,lentil
29.0,78.0,18.0,26.67,60.11,6.42,44.03,lentil
18.0,79.0,16.0,25.34,66.84,6.34,35.71,lentil
0.0,67.0,20.0,21.88,60.4,7.27,48.65,lentil
28.0,71.0,19.0,20.88,65.15,6.48,40.9,lentil
4.0,58.0,21.0,19.42,62.43,5.81,52.18,lentil
30.0,65.0,24.0,26.68,67.05,6.72,36.15,lentil
13.0,59.0,22.0,25.37,64.41,5.68,42.84,lentil
12.0,74.0,24.0,23.07,64.25,7.46,45.71,lentil
38.0,70.0,18.0,27.3,60.89,7.23,43.7,lentil
2.0,55.0,20.0,29.58,67.0,6.13,50.96,lentil
16.0,71.0,23.0,21.45,60.14,6.89,38.24,lentil
37.0,71.0,18.0,22.95,63.37,6.84,45.37,lentil
17.0,73.0,19.0,18.19,62.44,5.93,37.86,lentil
30.0,68.0,22.0,27.97,60.15,6.92,48.89,lentil
34.0,71.0,21.0,27.23,62.54,6.99,49.52,lentil
10.0,75.0,18.0,26.82,60.27,6.78,50.89,lentil
26.0,57.0,24.0,29.1,67.36,5.55,38.28,lentil
32.0,68.0,16.0,26.74,65.45,6.22,37.82,lentil
1.0,75.0,17.0,23.47,69.03,6.25,39.74,lentil
1.0,75.0,18.0,20.79,66.93,6.29,50.02,lentil
5.0,67.0,18.0,28.34,61.37,5.76,44.44,lentil
39.0,71.0,17.0,18.41,65.33,6.88,42.38,lentil
8.0,66.0,17.0,20.59,63.85,7.09,54.49,lentil
37.0,74.0,22.0,21.49,65.95,6.88,46.84,lentil
39.0,79.0,17.0,21.42,62.26,6.45,53.75,lentil
16.0,68.0,23.0,27.86,60.23,6.56,45.94,lentil
21.0,70.0,23.0,23.99,66.98,6.79,50.38,lentil
2.0,76.0,19.0,27.07,69.99,6.93,38.41,lentil
35.0,75.0,16.0,23.77,61.25,7.2,43.96,lentil
20.0,56.0,23.0,22.37,63.74,6.34,51.13,lentil
30.0,59.0,15.0,28.69,64.39,7.13,49.35,lentil
